Source;Target;Weight;Type
OBADIAH STANE / IRON MONGER;AMIRA AHMED;1;Undirected
OBADIAH STANE / IRON MONGER;COLONEL CRAIG;1;Undirected
OBADIAH STANE / IRON MONGER;DEALER AT CRAPS TABLE;1;Undirected
OBADIAH STANE / IRON MONGER;WOMAN AT CRAPS TABLE;1;Undirected
OBADIAH STANE / IRON MONGER;ENGINEER;1;Undirected
OBADIAH STANE / IRON MONGER;AIR FORCE OFFICER;1;Undirected
OBADIAH STANE / IRON MONGER;WOMAN IN SUV;1;Undirected
OBADIAH STANE / IRON MONGER;KID IN SUV;1;Undirected
OBADIAH STANE / IRON MONGER;GULMIRA KID;1;Undirected
OBADIAH STANE / IRON MONGER;GULMIRA MOM;1;Undirected
OBADIAH STANE / IRON MONGER;REPORTER;1;Undirected
OBADIAH STANE / IRON MONGER;FLIGHT ATTENDANT;1;Undirected
OBADIAH STANE / IRON MONGER;AIR FORCE LIEUTENANT;1;Undirected
OBADIAH STANE / IRON MONGER;ZORIANNA KIT;1;Undirected
OBADIAH STANE / IRON MONGER;STAN'S GIRL;1;Undirected
OBADIAH STANE / IRON MONGER;CAOC ANALYST";1;Undirected
VIRGINIA ""PEPPER"" POTTS;YINSEN;1;Undirected
VIRGINIA ""PEPPER"" POTTS;RAZA;1;Undirected
VIRGINIA ""PEPPER"" POTTS;J.A.R.V.I.S. (VOICE);3;Undirected
VIRGINIA ""PEPPER"" POTTS;CHRISTINE EVERHART;2;Undirected
VIRGINIA ""PEPPER"" POTTS;AGENT PHIL COULSON;3;Undirected
VIRGINIA ""PEPPER"" POTTS;AWARD CEREMONY NARRATOR (VOICE);1;Undirected
VIRGINIA ""PEPPER"" POTTS;HAPPY HOGAN;3;Undirected
VIRGINIA ""PEPPER"" POTTS;DIRECTOR NICK FURY;3;Undirected
VIRGINIA ""PEPPER"" POTTS;STAN LEE;1;Undirected
VIRGINIA ""PEPPER"" POTTS;GUARD;2;Undirected
VIRGINIA ""PEPPER"" POTTS;JIM CRAMER;1;Undirected
VIRGINIA ""PEPPER"" POTTS;ABU BAKAAR;1;Undirected
VIRGINIA ""PEPPER"" POTTS;GENERAL GABRIEL;1;Undirected
VIRGINIA ""PEPPER"" POTTS;WILLIAM GINTER RIVA;1;Undirected
VIRGINIA ""PEPPER"" POTTS;MAJOR ALLEN;2;Undirected
VIRGINIA ""PEPPER"" POTTS;JIMMY;1;Undirected
VIRGINIA ""PEPPER"" POTTS;PRATT;1;Undirected
VIRGINIA ""PEPPER"" POTTS;RAMIREZ;1;Undirected
VIRGINIA ""PEPPER"" POTTS;AHMED;1;Undirected
VIRGINIA ""PEPPER"" POTTS;OMAR;1;Undirected
VIRGINIA ""PEPPER"" POTTS;HOWARD STARK;2;Undirected
VIRGINIA ""PEPPER"" POTTS;VIPER 1;1;Undirected
VIRGINIA ""PEPPER"" POTTS;VIPER 2;1;Undirected
VIRGINIA ""PEPPER"" POTTS;AMIRA AHMED;1;Undirected
VIRGINIA ""PEPPER"" POTTS;COLONEL CRAIG;1;Undirected
VIRGINIA ""PEPPER"" POTTS;DEALER AT CRAPS TABLE;1;Undirected
VIRGINIA ""PEPPER"" POTTS;WOMAN AT CRAPS TABLE;1;Undirected
